,Unnamed: 0,Country,Fertility,ISO-code,continent
0,0,Afghanistan,4.5,AFG,Asia
1,1,Albania,1.6,ALB,Europe
2,2,Algeria,3.0,DZA,Africa
3,3,Andorra,1.3,AND,Europe
4,4,Angola,5.5,AGO,Africa
5,5,Antigua and Barbuda,2.0,ATG,North America
6,6,Argentina,2.3,ARG,South America
7,7,Armenia,1.8,ARM,Asia
8,8,Aruba,1.9,ABW,North America
9,9,Australia,1.7,AUS,Oceania
10,10,Austria,1.5,AUT,Europe
11,11,Azerbaijan,1.7,AZE,Asia
12,12,Bahrain,2.0,BHR,Asia
13,13,Bangladesh,2.0,BGD,Asia
14,14,Barbados,1.6,BRB,North America
15,15,Belarus,1.4,BLR,Europe
16,16,Belgium,1.6,BEL,Europe
17,17,Belize,2.3,BLZ,North America
18,18,Benin,4.8,BEN,Africa
19,19,Bermuda,1.6,BMU,North America
20,20,Bhutan,2.0,BTN,Asia
21,21,Bolivia,2.7,BOL,South America
22,22,Bosnia and Herzegovina,1.3,BIH,Europe
23,23,Botswana,2.9,BWA,Africa
24,24,Brazil,1.7,BRA,South America
25,25,Brunei,1.8,BRN,Asia
26,26,Bulgaria,1.6,BGR,Europe
27,27,Burkina Faso,5.2,BFA,Africa
28,28,Burundi,5.4,BDI,Africa
29,29,Cambodia,2.5,KHM,Asia
30,30,Cameroon,4.6,CMR,Africa
31,31,Canada,1.5,CAN,North America
32,32,Cape Verde,2.3,CPV,Africa
33,33,Central African Republic,4.7,CAF,Africa
34,34,Chad,5.7,TCD,Africa
35,35,Chile,1.6,CHL,South America
36,36,China,1.7,CHN,Asia
37,37,Colombia,1.8,COL,South America
38,38,Comoros,4.2,COM,Africa
39,39,Costa Rica,1.8,CRI,North America
40,40,Croatia,1.5,HRV,Europe
41,41,Cuba,1.6,CUB,North America
42,42,Curacao,1.7,CUW,
43,43,Cyprus,1.3,CYP,Asia
44,44,Czech Republic,1.7,CZE,Europe
45,45,Democratic Republic of the Congo,5.9,COD,Africa
46,46,Denmark,1.7,DNK,Europe
47,47,Djibouti,2.7,DJI,Africa
48,48,Dominica,1.9,DMA,North America
49,49,Dominican Republic,2.3,DOM,North America
50,50,East Timor,4.0,TLS,
51,51,Ecuador,2.4,ECU,South America
52,52,Egypt,3.3,EGY,Africa
53,53,El Salvador,2.0,SLV,North America
54,54,Equatorial Guinea,4.5,GNQ,Africa
55,55,Eritrea,4.1,ERI,Africa
56,56,Estonia,1.7,EST,Europe
57,57,Eswatini,3.0,SWZ,Africa
58,58,Ethiopia,4.2,ETH,Africa
59,59,Faroe Islands,2.5,FRO,Europe
60,60,Fiji,2.8,FJI,Oceania
61,61,Finland,1.4,FIN,Europe
62,62,France,1.9,FRA,Europe
63,63,French Polynesia,1.9,PYF,Oceania
64,64,Gabon,4.0,GAB,Africa
65,65,Georgia,2.1,GEO,Asia
66,66,Germany,1.6,DEU,Europe
67,67,Ghana,3.9,GHA,Africa
68,68,Greece,1.4,GRC,Europe
69,69,Greenland,2.0,GRL,North America
70,70,Grenada,2.1,GRD,North America
71,71,Guam,2.3,GUM,Oceania
72,72,Guatemala,2.9,GTM,North America
73,73,Guinea,4.7,GIN,Africa
74,74,Guinea,4.5,GIN,Africa
75,75,Guyana,2.5,GUY,South America
76,76,Haiti,2.9,HTI,North America
77,77,Honduras,2.5,HND,North America
78,78,Hong Kong,1.1,HKG,Asia
79,79,Hungary,1.6,HUN,Europe
80,80,Iceland,1.7,ISL,Europe
81,81,India,2.2,IND,Asia
82,82,Indonesia,2.3,IDN,Asia
83,83,Iran,2.9,IRN,Asia
84,84,Iraq,3.7,IRQ,Asia
85,85,Ireland,1.8,IRL,Europe
86,86,Isle of Man,1.6,IMN,Europe
87,87,Israel,2.4,ISR,Asia
88,88,Italy,1.3,ITA,Europe
89,89,Ivory Coast,4.6,CIV,Africa
90,90,Jamaica,2.0,JAM,North America
91,91,Japan,1.4,JPN,Asia
92,92,Jordan,2.8,JOR,Asia
93,93,Kazakhstan,2.8,KAZ,Asia
94,94,Kenya,3.5,KEN,Africa
95,95,Kiribati,3.6,KIR,Oceania
96,96,Kuwait,2.1,KWT,Asia
97,97,Kyrgyzstan,3.3,KGZ,Asia
98,98,Laos,2.7,LAO,Asia
99,99,Latvia,1.6,LVA,Europe
100,100,Lebanon,2.1,LBN,Asia
101,101,Lesotho,3.1,LSO,Africa
102,102,Liberia,4.3,LBR,Africa
103,103,Libya,2.2,LBY,Africa
104,104,Liechtenstein,1.6,LIE,Europe
