"country";"code";"continent";"fertility";"gdp_capita";"life_expectancy";"meat_cons";"median_age";"population_growth";"sex_ratio";"suicide_rate"
"Afghanistan";"AFG";"Asia";4.5;2182;64.5;17.3;27.4;2.41;1.03;6.4
"Algeria";"DZA";"Africa";3.0;16091;76.7;18.3;28.1;1.89;1.03;3.3
"Angola";"AGO";"Africa";5.5;6763;60.8;19.0;15.9;3.12;0.95;8.9
"Antigua and Barbuda";"ATG";"Africa";2.0;30593;76.9;56.0;31.9;1.03;0.89;0.5
"Argentina";"ARG";"South America";2.3;19971;76.5;79.7;31.7;0.88;0.98;9.1
"Armenia";"ARM";"Asia";1.8;11845;74.9;27.7;35.1;0.17;0.95;5.7
"Australia";"AUS";"Oceania";1.7;54799;83.3;108.2;38.7;1.6;0.99;11.7
"Austria";"AUT";"Europe";1.5;55171;81.4;94.1;44.0;0.46;0.96;11.4
"Azerbaijan";"AZE";"Asia";1.7;19156;72.9;15.9;32.3;1.35;0.98;2.6
"The Bahamas";"BHS";"North America";1.8;33432;73.8;123.6;32.0;1.52;0.96;1.6
"Bahrain";"BHR";"Asia";2.0;51991;77.2;70.7;32.3;1.92;1.53;5.7
"Bangladesh";"BGD";"Asia";2.0;5453;72.3;3.1;26.7;1.19;0.97;6.1
"Barbados";"BRB";"North America";1.6;19364;79.1;88.7;38.6;0.5;0.94;0.4
"Belarus";"BLR";"Europe";1.4;21224;74.6;58.6;40.0;-0.1;0.87;21.4
"Belgium";"BEL";"Europe";1.6;50904;81.5;86.1;41.4;0.85;0.97;15.7
"Belize";"BLZ";"North America";2.3;8791;74.5;74.7;22.7;2.43;1.0;5.9
"Benin";"BEN";"Africa";4.8;3648;61.5;16.2;18.2;2.73;0.97;15.7
"Bhutan";"BTN";"Asia";2.0;10627;71.5;3.0;27.6;1.68;1.08;11.6
"Bolivia";"BOL";"South America";2.7;8525;71.2;50.0;24.3;1.65;0.98;12.9
"Bosnia and Herzegovina";"BIH";"Europe";1.3;14894;77.3;21.4;42.1;-0.14;0.95;6.4
"Botswana";"BWA";"Africa";2.9;19388;69.3;27.3;24.5;0.86;0.93;11.5
"Brazil";"BRA";"South America";1.7;17106;75.7;82.4;32.6;0.87;0.97;6.1
"Bulgaria";"BGR";"Europe";1.6;26034;74.9;69.4;42.7;-0.6;0.95;7.9
"Burkina Faso";"BFA";"Africa";5.2;2181;61.2;11.2;17.3;2.86;0.96;14.8
"Burundi";"BDI";"Africa";5.4;724;61.2;3.5;17.0;3.19;0.99;15.0
"Cambodia";"KHM";"Asia";2.5;5004;69.6;13.9;25.3;1.76;0.95;5.9
"Cameroon";"CMR";"Africa";4.6;4099;58.9;14.4;18.5;2.54;0.99;19.5
"Canada";"CAN";"North America";1.5;52144;82.3;108.1;42.2;1.14;0.98;10.4
"Cape Verde";"CPV";"Africa";2.3;8716;72.8;26.3;25.4;0.78;0.95;15.1
"Central African Republic";"CAF";"Africa";4.7;864;52.8;28.0;19.7;1.99;0.99;11.6
"Chad";"TCD";"Africa";5.7;2603;54.0;14.3;17.8;3.0;0.98;15.5
"Chile";"CHL";"South America";1.6;27150;80.0;66.4;34.4;0.9;0.97;9.7
"China";"CHN";"Asia";1.7;20984;76.7;52.4;37.4;0.49;1.06;8.0
"Colombia";"COL";"South America";1.8;16265;77.1;33.9;30.0;1.32;0.98;7.0
"Comoros";"COM";"Africa";4.2;2898;64.1;7.6;19.9;2.44;0.94;11.1
"Democratic Republic of the Congo";"COD";"Africa";5.9;873;60.4;4.8;18.6;2.74;1.0;9.7
"Republic of the Congo";"COG";"Africa";4.4;7336;64.3;13.3;19.7;2.61;1.01;9.3
"Costa Rica";"CRI";"North America";1.8;18651;80.1;40.4;31.3;1.42;1.0;7.5
"Croatia";"HRV";"Europe";1.5;29207;78.3;49.9;43.0;-0.32;0.93;11.5
"Cuba";"CUB";"North America";1.6;8822;78.6;32.2;41.5;-0.05;0.99;10.1
"Cyprus";"CYP";"Europe";1.3;42956;80.8;131.3;36.8;1.11;1.05;4.5
"Czech Republic";"CZE";"Europe";1.7;40585;79.2;77.3;42.1;0.18;0.97;10.5
"Denmark";"DNK";"Europe";1.7;55675;80.8;145.9;42.2;0.36;0.99;9.2
"Djibouti";"DJI";"Africa";2.7;5855;66.6;17.1;23.9;1.52;0.83;8.5
"Dominican Republic";"DOM";"North America";2.3;20625;73.9;37.8;28.1;1.26;1.02;10.5
"Ecuador";"ECU";"South America";2.4;11866;76.8;45.0;27.7;1.6;0.99;7.2
"Egypt";"EGY";"Africa";3.3;14800;71.8;22.5;23.9;1.66;1.05;4.4
"El Salvador";"SLV";"North America";2.0;8593;73.1;21.4;27.1;0.66;0.92;13.5
"Eritrea";"ERI";"Africa";4.1;1103;65.9;7.7;19.7;3.28;0.97;13.8
"Estonia";"EST";"Europe";1.7;37606;78.6;67.4;42.7;-0.04;0.88;14.4
"Ethiopia";"ETH";"Africa";4.2;2702;66.2;7.9;17.9;2.58;1.0;11.4
"Fiji";"FJI";"Oceania";2.8;12689;67.3;39.1;28.9;0.78;1.03;5.5
"Finland";"FIN";"Europe";1.4;49548;81.7;67.4;42.5;0.48;0.97;11.7
"France";"FRA";"Europe";1.9;48640;82.5;101.1;41.4;0.5;0.96;12.1
"Gabon";"GAB";"Africa";4.0;19839;66.2;46.0;18.6;2.39;1.08;9.6
"The Gambia";"GMB";"Africa";5.2;2892;61.7;5.2;21.0;3.19;0.98;10.0
"Georgia";"GEO";"Asia";2.1;13200;73.6;26.0;38.1;0.63;0.92;6.7
"Germany";"DEU";"Europe";1.6;55306;81.2;82.1;47.1;0.11;0.96;9.1
"Ghana";"GHA";"Africa";3.9;7343;63.8;9.9;21.1;2.17;0.97;8.7
"Greece";"GRC";"Europe";1.4;31616;82.1;78.7;44.5;-0.18;0.95;3.8
"Greenland";"GRL";"North America";2.0;48182;71.25;63.4;33.9;-0.11;1.08;11.3
"Grenada";"GRD";"North America";2.1;17434;72.4;97.0;31.5;0.39;1.03;1.7
"Guatemala";"GTM";"North America";2.9;9009;74.1;23.8;22.1;2.53;0.99;2.9
"Guyana";"GUY";"South America";2.5;17163;69.8;31.8;26.2;0.57;1.02;30.2
"Haiti";"HTI";"North America";2.9;1916;63.7;15.3;23.0;1.39;0.98;12.2
"Honduras";"HND";"North America";2.5;5600;75.1;24.7;23.0;2.03;0.95;3.4
